Date,Open,High,Low,Close,Adj Close,Volume
2023-03-22,4.650000,4.720000,4.580000,4.590000,4.482320,16598600
2023-03-23,4.660000,4.700000,4.560000,4.600000,4.492085,18048900
2023-03-24,4.630000,4.650000,4.560000,4.630000,4.521381,20998600
2023-03-27,4.720000,4.740000,4.660000,4.670000,4.560443,10818200
2023-03-28,4.650000,4.680000,4.630000,4.680000,4.570208,10049100
2023-03-29,4.750000,4.760000,4.720000,4.740000,4.628801,10588000
2023-03-30,4.810000,4.860000,4.800000,4.840000,4.726455,17342300
2023-03-31,4.860000,4.910000,4.850000,4.910000,4.794813,9964700
2023-04-03,4.890000,4.910000,4.850000,4.880000,4.765517,12284100
2023-04-04,4.900000,4.930000,4.860000,4.910000,4.794813,18041300
2023-04-05,4.910000,4.930000,4.870000,4.900000,4.785048,11415100
2023-04-06,4.880000,4.900000,4.860000,4.870000,4.755751,10051600
2023-04-10,4.840000,4.850000,4.790000,4.820000,4.706924,12969200
2023-04-11,4.920000,4.920000,4.880000,4.890000,4.775282,11568700
2023-04-12,4.920000,4.940000,4.870000,4.870000,4.755751,15689800
2023-04-13,4.900000,4.940000,4.900000,4.940000,4.824109,18075800
2023-04-14,4.950000,4.970000,4.880000,4.900000,4.785048,16167300
2023-04-17,4.860000,4.870000,4.810000,4.850000,4.736220,16201200
2023-04-18,4.820000,4.830000,4.590000,4.660000,4.550677,29728400
2023-04-19,4.670000,4.670000,4.550000,4.620000,4.511616,32830000
2023-04-20,4.280000,4.300000,4.130000,4.200000,4.101469,58372900
2023-04-21,4.180000,4.230000,4.160000,4.220000,4.121000,29375500
2023-04-24,4.220000,4.250000,4.180000,4.200000,4.200000,23337700
2023-04-25,4.130000,4.140000,4.090000,4.100000,4.100000,23686800
2023-04-26,4.190000,4.210000,4.140000,4.150000,4.150000,22915100
2023-04-27,4.140000,4.180000,4.110000,4.180000,4.180000,16370000
2023-04-28,4.150000,4.210000,4.150000,4.190000,4.190000,14423700
